iter,wake_jitter_us,period_us,sensor_us,control_us,actuator_us,total_exec_us,overrun_period,overrun_budget,speed,voltage
251,83,9994,0,22,0,22,0,0,9.976524,9.985015
252,85,10002,0,0,0,0,1,0,9.976962,9.985295
253,84,9999,0,0,0,0,0,0,9.977393,9.985570
254,82,9997,0,0,0,0,0,0,9.977815,9.985840
255,82,9999,0,0,0,0,0,0,9.978229,9.986104
256,85,10002,0,0,0,0,1,0,9.978636,9.986364
257,83,9998,0,0,0,0,0,0,9.979035,9.986619
258,105,10021,0,0,0,0,1,0,9.979427,9.986869
259,85,9980,0,0,0,0,0,0,9.979811,9.987114
260,83,9998,0,0,0,0,0,0,9.980188,9.987355
261,85,10002,0,0,0,0,1,0,9.980559,9.987591
262,83,9997,0,0,0,0,0,0,9.980922,9.987823
263,82,9999,0,0,0,0,0,0,9.981278,9.988050
264,106,10024,0,0,0,0,1,0,9.981628,9.988273
265,86,9979,0,0,0,0,0,0,9.981971,9.988493
266,83,9996,0,0,0,0,0,0,9.982308,9.988708
267,88,10005,0,0,0,0,1,0,9.982639,9.988918
268,101,10013,0,0,0,0,1,0,9.982963,9.989125
269,105,10003,0,0,0,0,1,0,9.983281,9.989329
270,87,9982,0,0,0,0,0,0,9.983594,9.989528
271,81,9994,0,0,0,0,0,0,9.983900,9.989724
272,84,10003,15,0,0,15,1,0,9.984201,9.989916
273,109,10024,0,0,0,0,1,0,9.984496,9.990104
274,84,9975,0,0,0,0,0,0,9.984786,9.990289
275,82,9997,0,0,0,0,0,0,9.985070,9.990470
276,83,10001,0,0,0,0,1,0,9.985349,9.990648
277,83,10000,0,0,0,0,0,0,9.985622,9.990823
278,80,9997,0,0,0,0,0,0,9.985891,9.990995
279,82,10001,0,0,0,0,1,0,9.986155,9.991163
280,84,10001,0,0,0,0,1,0,9.986413,9.991328
281,82,9998,0,0,0,0,0,0,9.986667,9.991490
282,81,9998,0,0,0,0,0,0,9.986916,9.991649
283,100,10019,0,0,0,0,1,0,9.987161,9.991805
284,100,9999,0,0,0,0,0,0,9.987401,9.991958
285,110,10009,0,0,0,0,1,0,9.987636,9.992108
286,83,9973,0,0,0,0,0,0,9.987867,9.992256
287,83,10000,0,0,0,0,0,0,9.988094,9.992400
288,108,10025,0,0,0,0,1,0,9.988316,9.992542
289,106,9998,0,0,0,0,0,0,9.988534,9.992682
290,90,9983,0,0,0,0,0,0,9.988749,9.992818
291,88,9998,0,0,0,0,0,0,9.988959,9.992953
292,110,10021,0,0,0,0,1,0,9.989165,9.993084
293,89,9978,0,0,0,0,0,0,9.989367,9.993213
294,84,9995,0,0,0,0,0,0,9.989566,9.993340
295,101,10016,0,0,0,0,1,0,9.989761,9.993465
296,88,9987,0,0,0,0,0,0,9.989952,9.993587
297,85,9996,0,0,0,0,0,0,9.990140,9.993707
298,85,10000,0,0,0,0,0,0,9.990324,9.993824
299,107,10021,0,0,0,0,1,0,9.990505,9.993939
300,85,9978,0,0,0,0,0,0,9.990682,9.994053
301,83,9997,0,0,0,0,0,0,9.990856,9.994164
302,81,9997,0,0,0,0,0,0,9.991027,9.994273
303,84,10003,0,0,0,0,1,0,9.991195,9.994380
304,82,9997,0,0,0,0,0,0,9.991359,9.994485
305,87,10004,0,0,0,0,1,0,9.991521,9.994588
306,86,9998,0,0,0,0,0,0,9.991679,9.994689
307,82,9996,0,0,0,0,0,0,9.991835,9.994788
308,106,10024,0,0,0,0,1,0,9.991987,9.994886
309,88,9981,0,0,0,0,0,0,9.992137,9.994981
310,82,9994,0,0,0,0,0,0,9.992284,9.995075
311,82,9999,0,0,0,0,0,0,9.992428,9.995167
312,86,10004,0,0,0,0,1,0,9.992569,9.995257
313,82,9996,0,0,0,0,0,0,9.992708,9.995346
314,120,10037,0,0,0,0,1,0,9.992844,9.995433
315,85,9965,0,0,0,0,0,0,9.992978,9.995518
316,88,10002,0,0,0,0,1,0,9.993109,9.995602
317,86,9998,0,0,0,0,0,0,9.993238,9.995684
318,84,9997,0,0,0,0,0,0,9.993364,9.995765
319,85,10001,0,0,0,0,1,0,9.993488,9.995844
320,81,9996,0,0,0,0,0,0,9.993610,9.995921
321,82,10000,0,0,0,0,0,0,9.993729,9.995998
322,82,9999,0,0,0,0,0,0,9.993847,9.996072
323,84,10002,0,0,0,0,1,0,9.993961,9.996146
324,83,9998,0,0,0,0,0,0,9.994074,9.996218
325,81,9997,0,0,0,0,0,0,9.994185,9.996288
326,87,10006,0,0,0,0,1,0,9.994294,9.996358
327,81,9994,0,0,0,0,0,0,9.994400,9.996426
328,81,9999,0,0,0,0,0,0,9.994505,9.996493
329,82,10001,0,0,0,0,1,0,9.994608,9.996558
330,86,10003,0,0,0,0,1,0,9.994708,9.996622
331,81,9995,0,0,0,0,0,0,9.994807,9.996685
332,83,10002,0,0,0,0,1,0,9.994904,9.996747
333,85,10002,0,0,0,0,1,0,9.994999,9.996808
334,81,9995,0,0,0,0,0,0,9.995093,9.996868
335,81,10000,0,0,0,0,0,0,9.995184,9.996926
336,85,10003,0,0,0,0,1,0,9.995274,9.996984
337,84,9999,0,0,0,0,0,0,9.995363,9.997040
338,106,10021,0,0,0,0,1,0,9.995449,9.997095
339,105,9999,0,0,0,0,0,0,9.995534,9.997150
340,88,9983,0,0,0,0,0,0,9.995618,9.997203
341,83,9994,0,0,0,0,0,0,9.995700,9.997255
342,97,10014,0,0,0,0,1,0,9.995780,9.997306
343,84,9986,0,0,0,0,0,0,9.995859,9.997357
344,86,10001,0,0,0,0,1,0,9.995936,9.997406
345,82,9996,0,0,0,0,0,0,9.996012,9.997455
346,84,10001,0,0,0,0,1,0,9.996087,9.997502
347,86,10001,0,0,0,0,1,0,9.996160,9.997549
348,85,9999,0,0,0,0,0,0,9.996231,9.997595
349,108,10022,0,0,0,0,1,0,9.996302,9.997640
350,84,9976,0,0,0,0,0,0,9.996371,9.997684
351,81,9997,0,0,0,0,0,0,9.996439,9.997727
352,133,10051,0,0,0,0,1,0,9.996505,9.997769
353,114,9981,0,0,0,0,0,0,9.996571,9.997811
354,146,10031,0,0,0,0,1,0,9.996635,9.997852
355,130,9984,0,0,0,0,0,0,9.996698,9.997892
356,136,10005,0,0,0,0,1,0,9.996759,9.997931
357,139,10002,0,0,0,0,1,0,9.996820,9.997970
358,112,9972,0,0,0,0,0,0,9.996879,9.998008
359,98,9986,0,0,0,0,0,0,9.996937,9.998045
360,91,9993,0,0,0,0,0,0,9.996995,9.998082
361,104,10012,0,0,0,0,1,0,9.997051,9.998118
362,96,9992,0,0,0,0,0,0,9.997106,9.998153
363,129,10032,0,0,0,0,1,0,9.997160,9.998187
364,96,9967,0,0,0,0,0,0,9.997213,9.998221
365,92,9996,0,0,0,0,0,0,9.997265,9.998254
366,141,10048,0,0,0,0,1,0,9.997316,9.998287
367,105,9964,0,0,0,0,0,0,9.997366,9.998319
368,94,9988,0,0,0,0,0,0,9.997416,9.998350
369,79,9984,0,0,0,0,0,0,9.997464,9.998381
370,98,10019,0,0,0,0,1,0,9.997511,9.998411
371,94,9995,0,0,0,0,0,0,9.997558,9.998441
372,117,10023,0,0,0,0,1,0,9.997603,9.998470
373,98,9981,0,0,0,0,0,0,9.997648,9.998499
374,88,9989,0,0,0,0,0,0,9.997692,9.998527
375,84,9996,0,0,0,0,0,0,9.997735,9.998554
376,83,9999,0,0,0,0,0,0,9.997777,9.998581
377,82,9998,0,0,0,0,0,0,9.997819,9.998608
378,82,9999,0,0,0,0,0,0,9.997860,9.998634
379,83,10001,0,0,0,0,1,0,9.997900,9.998659
380,84,10000,0,0,0,0,0,0,9.997939,9.998684
381,83,9998,0,0,0,0,0,0,9.997977,9.998709
382,83,10000,0,0,0,0,0,0,9.998015,9.998733
383,82,9998,0,0,0,0,0,0,9.998052,9.998757
384,103,10020,0,0,0,0,1,0,9.998089,9.998780
385,112,10009,0,0,0,0,1,0,9.998124,9.998803
386,90,9978,0,0,0,0,0,0,9.998159,9.998825
387,83,9992,0,0,0,0,0,0,9.998194,9.998847
388,108,10025,0,0,0,0,1,0,9.998228,9.998869
389,87,9978,0,0,0,0,0,0,9.998261,9.998890
390,86,9999,0,0,0,0,0,0,9.998293,9.998911
391,101,10014,0,0,0,0,1,0,9.998325,9.998931
392,101,9999,0,0,0,0,0,0,9.998356,9.998951
393,90,9988,0,0,0,0,0,0,9.998387,9.998971
394,86,9996,0,0,0,0,0,0,9.998417,9.998990
395,101,10014,0,0,0,0,1,0,9.998447,9.999009
396,130,10029,0,0,0,0,1,0,9.998476,9.999027
397,84,9953,0,0,0,0,0,0,9.998504,9.999045
398,84,10000,0,0,0,0,0,0,9.998532,9.999063
399,105,10021,0,0,0,0,1,0,9.998560,9.999081
400,89,9983,0,0,0,0,0,0,9.998587,9.999098
401,83,9994,0,0,0,0,0,0,9.998613,9.999115
402,84,10001,0,0,0,0,1,0,9.998639,9.999131
403,85,10001,0,0,0,0,1,0,9.998664,9.999147
404,82,9996,0,0,0,0,0,0,9.998689,9.999163
405,102,10020,0,0,0,0,1,0,9.998714,9.999179
406,83,9980,0,0,0,0,0,0,9.998738,9.999194
407,82,9999,0,0,0,0,0,0,9.998761,9.999209
408,102,10020,0,0,0,0,1,0,9.998784,9.999224
409,91,9988,0,0,0,0,0,0,9.998807,9.999239
410,83,9992,0,0,0,0,0,0,9.998829,9.999253
411,82,9999,0,0,0,0,0,0,9.998851,9.999267
412,84,10001,0,0,0,0,1,0,9.998873,9.999281
