iter,wake_time_s,wake_jitter_us,period_us,sensor_us,control_us,actuator_us,total_exec_us,overrun_period,overrun_budget,speed,voltage
196,424430.717032,91,9987,0,0,0,0,0,0,9.933764,9.957722
197,424430.727027,86,9994,0,0,0,0,0,0,9.935001,9.958512
198,424430.737027,86,10000,0,0,0,0,0,0,9.936215,9.959287
199,424430.747026,85,9998,0,0,0,0,0,0,9.937407,9.960048
200,424430.757027,86,10001,0,0,0,0,1,0,9.938576,9.960794
201,424430.767022,81,9994,0,0,0,0,0,0,9.939724,9.961527
202,424430.777023,82,10001,0,0,0,0,1,0,9.940850,9.962246
203,424430.787023,82,9999,0,0,0,0,0,0,9.941955,9.962951
204,424430.797028,87,10005,0,0,0,0,1,0,9.943039,9.963643
205,424430.807024,82,9995,0,0,0,0,0,0,9.944104,9.964322
206,424430.817022,81,9998,0,0,0,0,0,0,9.945148,9.964989
207,424430.827024,83,10002,0,0,0,0,1,0,9.946173,9.965643
208,424430.837044,103,10020,0,0,0,0,1,0,9.947178,9.966285
209,424430.847026,85,9981,0,0,0,0,0,0,9.948165,9.966915
210,424430.857027,86,10001,0,0,0,0,1,0,9.949133,9.967533
211,424430.867024,83,9997,0,0,0,0,0,0,9.950084,9.968139
212,424430.877027,86,10002,0,0,0,0,1,0,9.951016,9.968735
213,424430.887026,85,9998,0,0,0,0,0,0,9.951931,9.969319
214,424430.897028,87,10001,0,0,0,0,1,0,9.952829,9.969892
215,424430.907023,82,9995,0,0,0,0,0,0,9.953711,9.970454
216,424430.917026,85,10002,0,0,0,0,1,0,9.954575,9.971006
217,424430.927024,83,9997,0,0,0,0,0,0,9.955424,9.971548
218,424430.937024,83,10000,0,0,0,0,0,0,9.956257,9.972079
219,424430.947024,83,9999,0,0,0,0,0,0,9.957074,9.972601
220,424430.957025,84,10001,0,0,0,0,1,0,9.957876,9.973113
221,424430.967024,82,9998,0,0,0,0,0,0,9.958663,9.973615
222,424430.977025,84,10001,0,0,0,0,1,0,9.959435,9.974108
223,424430.987023,81,9997,0,0,0,0,0,0,9.960193,9.974592
224,424430.997024,83,10001,0,20,0,20,1,0,9.960937,9.975067
225,424431.007024,83,10000,0,0,0,0,0,0,9.961666,9.975532
226,424431.017026,85,10002,0,0,0,0,1,0,9.962383,9.975990
227,424431.027027,86,10001,0,0,0,0,1,0,9.963085,9.976438
228,424431.037042,101,10014,0,0,0,0,1,0,9.963775,9.976878
229,424431.047023,82,9981,0,0,0,0,0,0,9.964452,9.977310
230,424431.057027,86,10004,0,0,0,0,1,0,9.965116,9.977734
231,424431.067027,86,10000,0,0,0,0,0,0,9.965768,9.978150
232,424431.077022,81,9994,0,0,0,0,0,0,9.966407,9.978558
233,424431.087027,85,10004,0,0,0,0,1,0,9.967035,9.978959
234,424431.097028,87,10001,0,0,0,0,1,0,9.967651,9.979352
235,424431.107026,85,9998,0,0,0,0,0,0,9.968255,9.979738
236,424431.117026,85,9999,0,0,0,0,0,0,9.968848,9.980116
237,424431.127024,82,9997,0,0,0,0,0,0,9.969430,9.980488
